IP,"Reverse DNS","Best-guess OS fingerprint","OS guess accuracy"
109.197.187.142,109-197-187-142.tylda.net,"MikroTik RouterOS 3.30",96
109.197.187.173,109-197-187-173.tylda.net,"MikroTik RouterOS 3.30",93
109.197.187.43,109-197-187-43.tylda.net,"MikroTik RouterOS 3.30",96
109.197.187.58,109-197-187-58.tylda.net,"MikroTik RouterOS 3.30",96
109.197.188.226,109-197-188-226.tylda.net,"MikroTik RouterOS 3.30",96
109.197.190.104,109-197-190-104.tylda.net,"MikroTik RouterOS 3.30",95
109.197.190.242,109-197-190-242.tylda.net,"MikroTik RouterOS 3.30",94
109.197.191.122,109-197-191-122.tylda.net,"MikroTik RouterOS 3.30",93
109.197.191.36,109-197-191-36.tylda.net,"MikroTik RouterOS 3.30",95
109.197.191.37,109-197-191-37.tylda.net,"MikroTik RouterOS 3.30",98
109.197.191.56,109-197-191-56.tylda.net,"MikroTik RouterOS 3.30",93
109.198.191.42,bezgadosti.ru,"OpenWrt (Linux 2.4.32)",98
109.198.232.196,,"Microsoft Windows Server 2003 SP2",98
109.199.156.172,23540.telnet.bg,"OpenWrt (Linux 2.6.39)",99
109.200.123.250,host-109-200-123-250.ugmk-telecom.ru,"Linux 2.4.18 - 2.4.35 (likely embedded)",96
109.200.129.106,ip106-129.200.109.crimea.com,"Linksys WRV54G WAP",97
109.200.129.122,ip122-129.200.109.crimea.com,"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)",97
109.200.129.25,ip25-129.200.109.crimea.com,"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)",97
109.200.129.97,ip97-129.200.109.crimea.com,"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)",97
109.200.130.97,ip97-130.200.109.crimea.com,"FreeBSD 7.0-RELEASE",94
109.200.131.1,ip1-131.200.109.crimea.com,"Juniper MX960 router (JUNOS 9.5R3.7)",97
109.200.150.0,ip0-150.200.109.crimea.com,"Microsoft Windows Server 2003 SP2",95
109.200.156.251,ip251-156.200.109.crimea.com,"Linux 2.6.26",96
109.200.255.37,109.200.255.37.pool.breezein.net,"Microsoft Windows XP SP3",96
109.200.80.173,host-109-200-80-173.futuroexito.pl,"Juniper MX960 router (JUNOS 9.5R3.7)",97
109.200.80.49,host-109-200-80-49.futuroexito.pl,"Juniper MX960 router (JUNOS 9.5R3.7)",96
109.200.91.37,host-109-200-91-37.futuroexito.pl,"Juniper MX960 router (JUNOS 9.5R3.7)",97
109.200.96.65,host-109-200-96-65.ugmk-telecom.ru,"D-Link DES-3526 switch",95
109.201.198.161,161.198.201.109.vpn.mgn.ru,"Microsoft Windows Vista SP1",93
109.201.211.58,58.211.201.109.vpn.mgn.ru,"Microsoft Windows XP SP2",92
109.201.230.196,109-201-230-196.pppoe.odeko.net.ua,"Microsoft Windows Vista SP2",99
109.201.230.245,109-201-230-245.pppoe.odeko.net.ua,"Linux 2.6.15 - 2.6.27",96
109.201.235.205,109-201-235-205.pppoe.odeko.net.ua,"Microsoft Windows XP SP2 or SP3",95
109.202.128.1,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.128.225,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.129.138,,"FreeBSD 6.2-STABLE - 6.4-STABLE",95
109.202.129.145,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.129.29,,"OpenBSD 5.2",97
109.202.129.85,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.130.10,,"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)",97
109.202.130.233,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.130.29,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.131.177,,"OpenBSD 3.9 - 4.4",96
109.202.131.1,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.131.209,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.133.109,,"Juniper SRX100 firewall",92
109.202.133.205,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.133.85,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.134.121,,"Juniper MX960 router (JUNOS 9.5R3.7)",98
109.202.135.181,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.135.42,,"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)",97
109.202.135.53,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.149.49,,"OpenBSD 5.2",93
109.202.153.225,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.202.159.45,,"Linux 2.6.32 - 2.6.35",95
109.204.0.134,ae0-dot-3049.core01.lon6.as20500.net,"Juniper SRX100 firewall",97
109.204.0.158,ae1-dot-3066.core01.lon6.as20500.net,"Juniper SRX100 firewall",97
109.204.0.250,ae0-dot-3079.core01.lon6.as20500.net,"Juniper SRX100 firewall",97
109.204.1.118,ae1-dot-3037.core01.lon5.as20500.net,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.204.1.148,xe-0-0-0-dot-3055.core01.lon3.as20500.net,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.204.1.186,ae0-dot-3087.core01.lon5.as20500.net,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.204.1.224,xe-0-0-0-dot-3137.core01.lon3.as20500.net,"Juniper SRX100 firewall",97
109.204.1.72,xe-0-0-0-dot-3025.core01.lon3.as20500.net,"Juniper SRX100 firewall",97
109.204.1.8,xe-0-0-0-dot-3004.core01.lon3.as20500.net,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.204.63.137,109-204-63-137.cci.mops2.co.uk,"ADSL router: Huawei MT800u-T; or ZyXEL Prestige 623ME-T1, 643, 662HW-61, 782, or 2602R-61",94
109.204.99.29,unknown.griffin.com,"Juniper SRX100 firewall",92
